"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Légkondicionáló","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 118 000 € "," 80 880 € "," 69 540 € "," 144 330 € "," 80 370 € "," 97 150 € "," 73 880 € "," 76 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 229 000 € "," 144 900 € "," 363 430 € "," 103 640 € "," 250 000 € "," 208 000 € "," 141 440 € "," 77 480 € "," 81 330 € "," 222 290 € "," 83 050 € "
"11","36 m²"," 2 ","26,9 millió Ft","felújított","nincs megadva","nincs megadva","1","4","van","3 m-nél alacsonyabb","elektromos","nem","egy helyiségben","nincs megadva","udvari","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","75 m²"," 3 ",NA,"felújított","összkomfortos","AA","4","4","nincs","3 m-nél alacsonyabb","padlófűtés, elektromos","nem","egy helyiségben","kelet","panorámás","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","van","25 000 Ft/hó",NA,NA,NA,"41,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","79 m²"," 4 ","44,7 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","nincs megadva","nincs megadva","nincs megadva","távfűtés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","65 m²"," 2 ","42,4 millió Ft","újszerű","összkomfortos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","külön helyiségben","délnyugat","panorámás","nincs megadva","nincs megadva","teremgarázs hely - kötelező megvenni","2001-2010 között","van",NA,NA,"3.6 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","65 m²"," 1 + 2 fél ","51,9 millió Ft","újszerű","nincs megadva","nincs megadva","2","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","külön helyiségben","délkelet","utcai","nem","nem tetőtéri","nincs megadva","2001-2010 között","van",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","130 m²"," 4 ","82,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","nincs megadva","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","önálló garázs",NA,NA,NA,"23 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","54 m²"," 1 + 2 fél ","41,9 millió Ft","felújított","nincs megadva","nincs megadva","1","3","nincs megadva","nincs megadva","gáz (cirko)","igen","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva",NA,NA,"25 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","54 m²"," 2 ","32,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","5","van","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nem tetőtéri","utca, közterület - fizetős övezet","1950-1980 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","23 m²"," 1 ","26,5 millió Ft","jó állapotú","komfortos","nincs megadva","nincs megadva","2","nincs","3 m vagy magasabb","gáz (konvektor)","nem","egy helyiségben","délnyugat","kertre néző","igen","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","46 m²"," 1 + 1 fél ","32,99 millió Ft","felújított","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","egy helyiségben","kelet","utcai","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","47 m²"," 1 + 1 fél ","28,7 millió Ft","felújított","nincs megadva","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","utca, közterület","1950-1980 között",NA,NA,"2.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","69 m²"," 3 ",NA,"újszerű","összkomfortos","AA+","3","4","nincs","3 m-nél alacsonyabb","padlófűtés, egyéb","igen","egy helyiségben","délkelet","panorámás","nem","nem tetőtéri","utca, közterület - fizetős övezet","2001-2010 között","van","25 000 Ft/hó",NA,NA,NA,"41,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","43 m²"," 1 + 1 fél ",NA,"felújított","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","távfűtés","nem","nincs megadva","nincs megadva","kertre néző","nem",NA,"utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,"29,5 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","52 m²"," 2 ","36,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","50 m²"," 2 ","34,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","2","4","nincs","nincs megadva","gáz (konvektor)","nincs megadva","egy helyiségben","nyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","1950-1980 között",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","83 m²"," 2 ","56,6 millió Ft","felújított","összkomfortos","nincs megadva","2","5","van","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","dél","utcai","nem","nincs megadva","utca, közterület - ingyenes","1950 előtt","nincs",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","69 m²"," 2 + 1 fél ","51,9 millió Ft","újszerű","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko), nincs","nem","külön helyiségben","dél","kertre néző","nem","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között","van","30 000 Ft/hó","16 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","33 m²"," 1 ","22,5 millió Ft","felújított","összkomfortos","CC","4","több mint 10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nem","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület","1950 előtt","nincs",NA,"4 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","53 m²"," 2 ","26,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","szuterén","4","nincs","nincs megadva","gáz (konvektor)","nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","56 m²"," 2 ","35,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","5","nincs","3 m-nél alacsonyabb","gázkazán","nincs megadva","külön helyiségben","dél","nincs megadva","nincs megadva","tetőtéri","utca, közterület - fizetős övezet","1981-2000 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","56 m²"," 2 ","36,9 millió Ft","felújított","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","külön helyiségben","délkelet","utcai","nem","nem tetőtéri","utca, közterület","1950 előtt","van",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","59 m²"," 1 + 2 fél ","31,8 millió Ft","felújított","összkomfortos","nincs megadva","3","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között",NA,NA,"3.5 m²",NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","46 m²"," 2 ","24,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","nincs megadva","nincs megadva","egy helyiségben","nyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","nincs","30 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","104 m²"," 3 + 1 fél ","48,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","önálló garázs - kötelező megvenni","1981-2000 között","nincs",NA,"8 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","65 m²"," 2 + 1 fél ","49,9 millió Ft","felújított","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","kelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,"30 000 Ft/hó","5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","74 m²"," 2 + 1 fél ","54,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","3","nincs","nincs megadva","gáz (cirko)","nincs megadva","külön és egyben is","délnyugat","kertre néző","nem","nincs megadva","önálló garázs - kötelező megvenni","2001-2010 között","van",NA,"2 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","40 m²"," 2 ","29,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","4","8","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","egy helyiségben","délkelet","udvari","nincs megadva","nincs megadva","utca, közterület - ingyenes","2012","van",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","46 m²"," 2 ","25,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés","nincs megadva","egy helyiségben","kelet","panorámás","nincs megadva","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes",NA,NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","46 m²"," 1 + 1 fél ","26 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","egy helyiségben","nyugat","panorámás","nem","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","36 m²"," 1 ","22,5 millió Ft","felújított","összkomfortos","nincs megadva","1","4","van","3 m vagy magasabb","gáz (konvektor)","nincs megadva","külön helyiségben","nyugat","udvari","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","40 m²"," 1 + 1 fél ","26,9 millió Ft","felújított","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","egy helyiségben","délkelet","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950-1980 között","nincs","5 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","58 m²"," 2 + 2 fél ","44,9 millió Ft","felújított","összkomfortos","nincs megadva","földszint","5","nincs","3 m-nél alacsonyabb","házközponti","igen","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,"van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","77 m²"," 3 ","45 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délnyugat","utcai","nem","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","50 m²"," 2 ","26,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","távfűtés","nincs megadva","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","utca, közterület","1950-1980 között","van","7 000 Ft/hó","6 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","51 m²"," 2 ","37,4 millió Ft","jó állapotú","összkomfortos","nincs megadva","félemelet","3","nincs","3 m-nél alacsonyabb","gáz (konvektor), elektromos","nem","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között","nincs","2 000 Ft/hó","4.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","55 m²"," 2 ","34,99 millió Ft","felújított","összkomfortos","nincs megadva","7","több mint 10","van","3 m-nél alacsonyabb","távfűtés","igen","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,"6 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","50 m²"," 2 ","26,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","távfűtés","nincs megadva","külön helyiségben","dél","utcai","nem","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","van",NA,"6 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","47 m²"," 1 + 1 fél ","34,2 millió Ft","újszerű","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","nincs megadva","délnyugat","panorámás","nincs megadva","zárószint","utca, közterület","2001-2010 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","50 m²"," 1 + 1 fél ","39,9 millió Ft","újszerű","összkomfortos","nincs megadva","1","5","nincs megadva","nincs megadva","házközponti egyedi méréssel","nincs megadva","külön helyiségben","délnyugat","kertre néző","nincs megadva","nincs megadva","udvari beálló - kötelező megvenni","2001-2010 között",NA,"12 000 Ft/hó","3 m²","2 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","66 m²"," 3 ","68,8 millió Ft","újszerű","összkomfortos","AA","1","3","van","3 m-nél alacsonyabb","gáz (cirko)","igen","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"11.3 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","90 m²"," 4 ","63 millió Ft","felújított","duplakomfortos","nincs megadva","földszint","2","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nincs megadva","utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","37 m²"," 1 + 1 fél ",NA,"jó állapotú","összkomfortos","nincs megadva","1","nincs megadva","nincs","3 m vagy magasabb","gáz (konvektor)","nem","nincs megadva","dél","kertre néző","nem","nem tetőtéri","utca, közterület","1950 előtt",NA,NA,NA,NA,NA,NA,NA,"24,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","87 m²"," 2 + 1 fél ","54,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","van","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön helyiségben","délkelet","panorámás","nincs megadva","nincs megadva","nincs megadva","1950 előtt",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","98 m²"," 4 ","84,9 millió Ft","újszerű","nincs megadva","nincs megadva","földszint","2","nincs megadva","nincs megadva","gáz (cirko)","igen","külön helyiségben","délnyugat","kertre néző","igen","nem tetőtéri","önálló garázs - benne van az árban","2001-2010 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","78 m²"," 4 ",NA,"felújított","duplakomfortos","nincs megadva","földszint","nincs megadva","nincs","3 m vagy magasabb","gáz (cirko)","nem","nincs megadva","délkelet","utcai","nem","nem tetőtéri","udvari beálló - benne van az árban","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,"50,8 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","56 m²"," 2 ","42,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","félemelet","2","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","dél","nincs megadva","nincs megadva","nem tetőtéri","önálló garázs - megvásárolható","1950-1980 között","nincs","25 000 Ft/hó","7 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","40 m²"," 1 + 1 fél ","30,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950 előtt",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","118 m²"," 2 ","108 millió Ft","újszerű","összkomfortos","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön és egyben is","nyugat","utcai","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között",NA,NA,"23 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
