"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Légkondicionáló","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 220 000 € "," 109 510 € "," 80 880 € "," 97 330 € "," 69 540 € "," 97 150 € "," 76 000 € "," 118 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 144 900 € "," 103 640 € "," 250 000 € "," 208 000 € "," 140 000 € "," 83 050 € "," 74 930 € "," 222 290 € "," 107 700 € "," 72 620 € "," 64 440 € "," 84 430 € "," 85 550 € "," 82 790 € "," 221 850 € "," 73 880 € "," 77 480 € "," 81 330 € "," 80 370 € "," 66 450 € "," 91 860 € "," 86 210 € "," 73 770 € "," 144 330 € "," 95 990 € "," 58 260 € "," 85 870 € "," 138 070 € "," 111 610 € "," 158 310 € "," 24 000 € "," 88 720 € "," 73 940 € "," 173 330 € "," 61 580 € "," 117 790 € "," 108 980 € "," 271 350 € "," 97 450 € "," 111 800 € "," 76 140 € "," 61 070 € "," 74 470 € "," 81 670 € "," 125 570 € "," 109 200 € "
"11","66 m²"," 1 + 2 fél ","57,9 millió Ft","újszerű","összkomfortos","CC","földszint","4","van","3 m-nél alacsonyabb","gáz (cirko)","van","igen","külön helyiségben","délkelet","kertre néző","igen","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","21 140 Ft/hó","16 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","68 m²"," 3 ","57,9 millió Ft","felújított","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","külön és egyben is","délkelet","utcai","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","46 m²"," 1 + 1 fél ","27,99 millió Ft","felújított","összkomfortos","nincs megadva","földszint","10","van","nincs megadva","távfűtés egyedi méréssel",NA,"nincs megadva","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nem tetőtéri","utca, közterület",NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","36 m²"," 2 ","26,9 millió Ft","felújított","nincs megadva","nincs megadva","1","4","van","3 m-nél alacsonyabb","elektromos",NA,"nem","egy helyiségben","nincs megadva","udvari","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","79 m²"," 4 ","44,7 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","nincs megadva","nincs megadva","nincs megadva","távfűtés",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","126 m²"," 5 ",NA,"felújított","duplakomfortos","AA","4","4","nincs","3 m-nél alacsonyabb","egyéb","van","nem","egy helyiségben","kelet","panorámás","nem","legfelső emelet, nem tetőtéri","önálló garázs - bérelhető","2001-2010 között","25 000 Ft/hó","4 m²","40 000 Ft/hó",NA,"78,8 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","65 m²"," 2 ","42,4 millió Ft","újszerű","összkomfortos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","külön helyiségben","délnyugat","panorámás","nincs megadva","nincs megadva","teremgarázs hely - kötelező megvenni","2001-2010 között",NA,NA,"3.6 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","65 m²"," 1 + 2 fél ","51,9 millió Ft","újszerű","nincs megadva","nincs megadva","2","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nem","külön helyiségben","délkelet","utcai","nem","nem tetőtéri","nincs megadva","2001-2010 között",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","130 m²"," 4 ","82,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","nincs megadva","2","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nem","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","önálló garázs",NA,NA,"23 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","54 m²"," 1 + 2 fél ","41,9 millió Ft","felújított","nincs megadva","nincs megadva","1","3","nincs megadva","nincs megadva","gáz (cirko)",NA,"igen","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva",NA,"25 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","40 m²"," 1 + 1 fél ","30,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)",NA,"nincs megadva","egy helyiségben","délnyugat","utcai","nincs megadva","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","68 m²"," 3 ",NA,"felújított","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nem","nincs megadva","délkelet","utcai","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,"3 m²",NA,"nincs megadva",NA,"38,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","33 m²"," 1 ","22,5 millió Ft","felújított","összkomfortos","nincs megadva","3","több mint 10","van","nincs megadva","nincs megadva",NA,"igen","nincs megadva","délnyugat","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA,"4.5 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","43 m²"," 1 + 1 fél ",NA,"felújított","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","távfűtés",NA,"nem","nincs megadva","nincs megadva","kertre néző","nem",NA,"utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,"29,5 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","52 m²"," 2 ","36,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nem","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","50 m²"," 2 ","34,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","2","4","nincs","nincs megadva","gáz (konvektor)",NA,"nincs megadva","egy helyiségben","nyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","1950-1980 között",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","49 m²"," 1 + 1 fél ",NA,"jó állapotú","összkomfortos","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nem","nincs megadva","nyugat","kertre néző","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,"35,5 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","69 m²"," 2 + 1 fél ","51,9 millió Ft","újszerű","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko), nincs","van","nem","külön helyiségben","dél","kertre néző","nem","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között","30 000 Ft/hó","16 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","94 m²"," 3 ","69,9 millió Ft","felújított","nincs megadva","nincs megadva","1","3","van","nincs megadva","házközponti egyedi méréssel",NA,"nincs megadva","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","2001-2010 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","33 m²"," 1 ","22,5 millió Ft","felújított","összkomfortos","CC","3","több mint 10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs","nem","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület","1950 előtt",NA,"4 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","50 m²"," 2 ","26,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","távfűtés","van","nincs megadva","külön helyiségben","dél","kertre néző","nem","nem tetőtéri","utca, közterület","1950-1980 között","7 000 Ft/hó","6 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","56 m²"," 2 ","44,5 millió Ft","újszerű","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","külön helyiségben","északnyugat","nincs megadva","nincs megadva","nincs megadva","udvari beálló - kötelező megvenni","2001-2010 között",NA,"4 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","38 m²"," 1 + 1 fél ","26 millió Ft","felújított","összkomfortos","nincs megadva","földszint","2","nincs","3 m vagy magasabb","gáz (konvektor)","nincs","nincs megadva","egy helyiségben","délkelet","utcai","nem","nem tetőtéri","utca, közterület","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","39 m²"," 1 ","25,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","3 m vagy magasabb","gáz (cirko)","nincs","nem","külön helyiségben","délnyugat","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","81 m²"," 4 ","54,9 millió Ft","újszerű","nincs megadva","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","külön és egyben is","délnyugat","nincs megadva","nincs megadva","nincs megadva","önálló garázs - kötelező megvenni","2001-2010 között",NA,"4 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","53 m²"," 2 ","26,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","szuterén","4","nincs","nincs megadva","gáz (konvektor)",NA,"nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","97 m²"," 4 ","74,9 millió Ft","felújított","duplakomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nem","nincs megadva","nincs megadva","kertre néző","nincs megadva","legfelső emelet, nem tetőtéri","önálló garázs - kötelező megvenni","1981-2000 között",NA,"10 m²","5.5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","46 m²"," 2 ","24,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","nincs megadva","nincs","nincs megadva","egy helyiségben","nyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","30 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
